id,name,ima_formula,groupid,entrytype_text,colour,hmin,hmax,lustre,csystem,shortcode_ima
1,Abelsonite,NiC<sub>31</sub>H<sub>32</sub>N<sub>4</sub>,0,mineral,"Pink-purple, dark greyish purple, pale purplish red, reddish brown",2.0,3.0,Sub-metallic to adamantine,Triclinic,Abl
2,Abenakiite-(Ce),Na<sub>26</sub>Ce<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(SO<sub>2</sub>)O,0,mineral,Pale brown,4.0,5.0,Vitreous,Trigonal,Abk-Ce
3,Abernathyite,K(UO<sub>2</sub>)(AsO<sub>4</sub>) &middot; 3H<sub>2</sub>O,29311,mineral,yellow,2.5,3.0,Vitreous,Tetragonal,Abn
4,Abhurite,Sn<sup>2+</sup><sub>21</sub>O<sub>6</sub>(OH)<sub>14</sub>Cl<sub>16</sub>,0,mineral,Colourless,2.0,2.0,,Trigonal,Abh
9,Abswurmbachite,Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>(SiO<sub>4</sub>),43692,mineral,Black,6.5,6.5,,Tetragonal,Abs
10,Acanthite,Ag<sub>2</sub>S,46605,mineral,"lead grey, black",2.0,2.5,Metallic,Monoclinic,Aca
13,Acetamide,CH<sub>3</sub>CONH<sub>2</sub>,0,mineral,"Colourless, grey",1.0,1.5,,Trigonal,Ace
14,Achávalite,FeSe,29316,mineral,dark grey to black,2.5,2.5,Metallic,Hexagonal,Ahv
18,Actinolite,&#9723;Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,52952,mineral,"Green, green-black, grey-green, or black",5.0,6.0,Vitreous,Monoclinic,Act
19,Acuminite,SrAlF<sub>4</sub>(OH) &middot; H<sub>2</sub>O,0,mineral,"Colourless, white, becomes yellow on exposure to x-rays",3.5,3.5,,Monoclinic,Acu
21,Adamite,Zn<sub>2</sub>(AsO<sub>4</sub>)(OH),32261,mineral,"Ideally white, colourless, frequently pale yellow, honey-yellow, brownish yellow, rose red; blue, pale green to green, may be zoned; bright green (Cu-bearing); bright pink, purple (Co-bearing)",3.5,3.5,Vitreous,Orthorhombic,Ad
23,Adelite,CaMg(AsO<sub>4</sub>)(OH),29251,mineral,"Colourless, white, grey, bluish grey, yellowish grey, yellow, pale green, pinkish brown, brown",5.0,5.0,Resinous,Orthorhombic,Ade
